nome	endereco_pt	endereco_en	lat	lon
Universidade Estadual de Santa Cruz (UESC)	Campus Soane Nazaré de Andrade — Rodovia Jorge Amado, km 16, Salobrinho, Ilhéus – BA, CEP 45662-900	Soane Nazaré de Andrade Campus — Rodovia Jorge Amado, km 16, Salobrinho, Ilhéus – BA, 45662-900, Brazil	-14.796383	-39.173061
Universidade Federal do Sul da Bahia (UFSB)	Campus Jorge Amado — Rodovia Ilhéus–Vitória da Conquista (BR-415), km 39, s/n, Ferradas, divisa entre Itabuna e Ilhéus – BA, CEP 45613-204	Jorge Amado Campus — Rodovia Ilhéus–Vitória da Conquista (BR-415), km 39, Ferradas, on the Itabuna–Ilhéus border – BA, 45613-204, Brazil	-14.770943	-39.235581
